"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","29. Receive results in default JSON format with no `Accept`  - GET /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
"","35","54. Receive 401 when no X-AUTH-TOKEN present  - POST /secret/note @API","chromium","Fri Apr 25 01:52:41 GMT 2025","passed","Fri Apr 25 01:52:41 GMT 2025","API challenge","api.test.js","",""
"","39","12. Fail length validation on the `description` because your description exceeds maximum allowable characters - POST /todos @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","38","49. Receive 201 when Basic auth username/password is admin/password - POST /secret/token @API","chromium","Fri Apr 25 01:52:41 GMT 2025","passed","Fri Apr 25 01:52:41 GMT 2025","API challenge","api.test.js","",""
"","47","4. Return 404 by issuing a request on a non-existent endpoint - GET /todos @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","46","5. Return a specific todo - GET /todos/id @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","43","22. Fail to update an existing todo because id different in payload  - PUT /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
"","62","52. Receive 200 when valid X-AUTH-TOKEN used - response body contain the note  - GET /secret/note @API","chromium","Fri Apr 25 01:52:41 GMT 2025","passed","Fri Apr 25 01:52:41 GMT 2025","API challenge","api.test.js","",""
"","39","40. Create a todo using Content-Type `application/json` but Accept `application/xml`  - POST /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
"","44","8. See the results of a request without the body - HEAD /todos @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","47","15. Fail validation because your payload contains an unrecognised field - POST /todos @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","34","30. Receive 406 'NOT ACCEPTABLE' status code with 'Accept': 'application/gzip'  - GET /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
"","46","3. Return all the Todos in default - GET /todos @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","35","27. Receive results in default JSON format with an `Accept` header of `*/*`  - GET /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
"","38","24. Identify the allowed verbs for an API End Point - OPTIONS /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
"","67","14. Fail payload length validation on the `description` - POST /todos @API","chromium","Fri Apr 25 01:52:39 GMT 2025","passed","Fri Apr 25 01:52:39 GMT 2025","API challenge","api.test.js","",""
"","37","31. Create a todo using Content-Type `application/xml`, and Accepting only XML  - POST /todos @API","chromium","Fri Apr 25 01:52:40 GMT 2025","passed","Fri Apr 25 01:52:40 GMT 2025","API challenge","api.test.js","",""
